v4_2,CV,CI+/-,calendar-years,Time,uk-only,Geography,age-groups,AgeGroups,sex,Sex,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
117,b,16,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
19,c,7,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,number,Number
41,c,9,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,number,Number
30,c,7,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,number,Number
122,b,23,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
168,a,16,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
95.8,a,0.3,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3.5,c,0.7,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.9,c,0.3,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,d,0.1,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,percentage,Percentage
0.3,c,0.1,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,percentage,Percentage
0.2,c,0.1,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,percentage,Percentage
2.4,a,0.2,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
3.3,a,0.3,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.3,c,0.1,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,percentage,Percentage
2.6,b,0.4,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.5,c,0.1,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,percentage,Percentage
79,c,21,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
15,d,8,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,number,Number
91,b,16,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
11,c,4,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,number,Number
47,c,10,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
37,c,8,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
15,d,6,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,number,Number
25,c,6,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,other,Other,number,Number
96.4,a,0.3,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,c,0.1,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,other,Other,percentage,Percentage
2.1,b,0.4,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.8,d,0.3,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,percentage,Percentage
0.4,c,0.2,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,percentage,Percentage
0.3,c,0.1,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,percentage,Percentage
93.2,a,1,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.6,a,0.2,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.2,c,0.1,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,percentage,Percentage
0.2,c,0.1,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,percentage,Percentage
93.5,a,0.8,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.8,b,0.1,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,c,0.1,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,percentage,Percentage
5741,a,19,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
73,b,11,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
14,c,5,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,number,Number
35,c,7,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,number,Number
188,b,19,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
6265,a,44,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
21,c,6,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,number,Number
141,a,13,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
5603,a,47,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
5982,a,49,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
28,c,7,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
15,c,5,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,number,Number
15,d,10,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,number,Number
