v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
,x,x,x,2012,2012,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2012,2012,K02000001,United Kingdom,bisexual,Bisexual,number,Number
706,,a,49,2017,2017,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
398,,a,37,2017,2017,K02000001,United Kingdom,bisexual,Bisexual,number,Number
50181,,a,99,2018,2018,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
1331,,a,57,2015,2015,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
1305,,a,59,2016,2016,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
1.1,,a,0.1,2019,2019,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
,x,x,x,2012,2012,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1438,,a,59,2014,2014,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
0.5,,b,0.1,2014,2014,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
93.7,,a,0.2,2019,2019,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
209,,b,23,2015,2015,K02000001,United Kingdom,other,Other,number,Number
404,,b,47,2016,2016,K02000001,United Kingdom,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,K02000001,United Kingdom,other,Other,percentage,Percentage
279,,b,28,2014,2014,K02000001,United Kingdom,bisexual,Bisexual,number,Number
273,,a,26,2016,2016,K02000001,United Kingdom,other,Other,number,Number
49843,,a,90,2016,2016,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
2.8,,a,0.1,2014,2014,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.8,,b,0.1,2016,2016,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
1.3,,a,0.1,2017,2017,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.8,,a,0.1,2017,2017,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
2.5,,a,0.1,2018,2018,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
95.3,,a,0.1,2014,2014,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.1,,a,0.1,2014,2014,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2013,2013,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2013,2013,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,K02000001,United Kingdom,bisexual,Bisexual,number,Number
644,,a,46,2016,2016,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
1.2,,a,0.1,2015,2015,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
95,,a,0.2,2017,2017,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3,,a,0.1,2019,2019,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.6,,a,0.1,2017,2017,K02000001,United Kingdom,other,Other,percentage,Percentage
,x,x,x,2012,2012,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,K02000001,United Kingdom,other,Other,number,Number
,x,x,x,2012,2012,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2012,2012,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
840,,a,64,2019,2019,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2013,2013,K02000001,United Kingdom,other,Other,percentage,Percentage
